what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help.base,3.4.0.v200909170800,"org.eclipse.help.base",1443106051297
started,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1443106051312
started,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1443106051624
opened,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1443106051718
activated,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1443106051765
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443106053106
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443106054817
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443106055842
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443106082620
error,log,,,"SOPC design not set.",1443106082665
error,log,,,"CPU module not set.",1443106082675
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1443106082675
error,log,,,"CPU architecture type not set. ",1443106082676
error,log,,,"CPU master group not set.",1443106082680
error,log,,,"SOPC design not set.",1443106082805
error,log,,,"CPU module not set.",1443106082815
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1443106082825
error,log,,,"CPU architecture type not set. ",1443106082825
error,log,,,"CPU master group not set.",1443106082835
opened,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1443106084241
error,log,,,"sun.awt.X11.XlibWrapper",1443106084334
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1443106084467
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1443106084486
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1443106099844
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1443106164548
