what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1443105739982
started,bundle,com.altera.sbtgui.integration,10.1.0.153,"com.altera.sbtgui.integration",1443105739982
started,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1443105739982
started,bundle,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project",1443105739982
started,bundle,com.altera.sbtgui.ui,10.1.0.153,"com.altera.sbtgui.ui",1443105739982
started,bundle,com.altera.systemconsole,10.1.0.153,"com.altera.systemconsole",1443105739982
started,bundle,com.altera.utilities,10.1.0.153,"com.altera.utilities",1443105739982
os,sysinfo,,,"win32",1443105739982
arch,sysinfo,,,"x86",1443105739982
ws,sysinfo,,,"win32",1443105739982
locale,sysinfo,,,"en_CA",1443105739982
processors,sysinfo,,,"4",1443105739982
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1443105739982
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1443105739982
java.specification.name,sysinfo,,,"Java Platform API Specification",1443105739982
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1443105739982
java.specification.version,sysinfo,,,"1.6",1443105739982
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1443105739982
java.version,sysinfo,,,"1.6.0_14",1443105739982
java.vm.info,sysinfo,,,"mixed mode",1443105739982
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1443105739982
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1443105739982
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1443105739982
java.vm.specification.version,sysinfo,,,"1.0",1443105739982
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1443105739982
