what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105863208
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105883876
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1443105885343
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105903174
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105930489
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1443105954076
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105957446
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443106017756
error,log,,,"SOPC design not set.",1443106017834
error,log,,,"CPU module not set.",1443106017834
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1443106017849
error,log,,,"CPU architecture type not set. ",1443106017849
error,log,,,"CPU master group not set.",1443106017849
error,log,,,"SOPC design not set.",1443106017865
error,log,,,"CPU module not set.",1443106017865
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1443106017880
error,log,,,"CPU architecture type not set. ",1443106017880
error,log,,,"CPU master group not set.",1443106017880
error,log,,,"SOPC design not set.",1443106017896
error,log,,,"CPU module not set.",1443106017896
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1443106017896
error,log,,,"CPU architecture type not set. ",1443106017912
error,log,,,"CPU master group not set.",1443106017912
error,log,,,"Connected system ID hash not found on target at expected base address.",1443106017912
error,log,,,"Connected system timestamp not found on target at expected base address.",1443106017927
