what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"14.0-b16",1443105739982
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1443105741745
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1443105741823
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105742229
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105769731
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105781478
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909110608,"org.eclipse.cdt.managedbuilder.core",1443105781931
started,bundle,org.eclipse.cdt.make.core,6.0.0.200909110608,"org.eclipse.cdt.make.core",1443105782087
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1443105782087
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200909110608,"org.eclipse.cdt.managedbuilder.gnu.ui",1443105784130
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105829433
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1443105833457
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1443105833910
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1443105833942
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1443105834020
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1443105836469
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1443105837140
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1443105840244
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1443105840276
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1443105840291
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1443105842444
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105842725
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105844035
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105863114
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1443105863161
